zip,compid,compname,comrate,indrate,resrate
01339,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01339,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01340,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01340,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01341,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01341,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01342,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01343,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01344,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01344,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01346,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01347,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01349,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01349,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01350,7601,Green Mountain Power Corp.,109.59,75.73,132.56
01350,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01351,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01351,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01354,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01355,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01355,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01360,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01360,15472,PSC of New Hampshire,136.75,128.88,151.42
01360,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01360,7601,Green Mountain Power Corp.,109.59,75.73,132.56
01364,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01366,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01367,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01368,15472,PSC of New Hampshire,136.75,128.88,151.42
01368,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01370,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01370,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01373,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01375,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01376,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01378,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
01378,15472,PSC of New Hampshire,136.75,128.88,151.42
01378,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01379,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01380,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01420,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01420,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01430,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01430,15472,PSC of New Hampshire,136.75,128.88,151.42
01430,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01431,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01431,15472,PSC of New Hampshire,136.75,128.88,151.42
01432,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01434,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01436,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01440,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01450,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01450,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01451,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01452,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01453,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01453,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01460,1998,Boston Edison Co.,193.53,199.87,201.75
01460,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01462,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01462,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01463,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01463,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01463,15472,PSC of New Hampshire,136.75,128.88,151.42
01464,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01467,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01468,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01469,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01469,15472,PSC of New Hampshire,136.75,128.88,151.42
01469,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01473,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01473,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01474,15472,PSC of New Hampshire,136.75,128.88,151.42
01474,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01475,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01475,15472,PSC of New Hampshire,136.75,128.88,151.42
01501,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01503,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01504,13214,Narragansett Electric Co.,136.93,127.63,150.98
01504,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01505,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01506,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01507,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01510,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01515,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01516,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01518,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01519,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01520,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01521,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01522,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01523,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01523,6374,Fitchburg Gas & Electric Light Co.,190.12,176.73,188.77
01524,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01527,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01529,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01531,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01532,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01534,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01535,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01536,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01537,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01540,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01541,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01542,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01543,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01545,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01550,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01560,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01561,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01562,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01564,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01566,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01568,1998,Boston Edison Co.,193.53,199.87,201.75
01568,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01569,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01570,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01570,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01571,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01571,4176,Connecticut Light & Power Co.,148.18,124.12,174.86
01580,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01581,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01581,1998,Boston Edison Co.,193.53,199.87,201.75
01583,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01585,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01588,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01590,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01602,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01603,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01604,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01605,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01606,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01607,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01608,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01609,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01610,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01611,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01612,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01701,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01701,1998,Boston Edison Co.,193.53,199.87,201.75
01702,1998,Boston Edison Co.,193.53,199.87,201.75
01718,1998,Boston Edison Co.,193.53,199.87,201.75
01719,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01719,1998,Boston Edison Co.,193.53,199.87,201.75
01720,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01720,1998,Boston Edison Co.,193.53,199.87,201.75
01721,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01721,1998,Boston Edison Co.,193.53,199.87,201.75
01730,1998,Boston Edison Co.,193.53,199.87,201.75
01730,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01731,1998,Boston Edison Co.,193.53,199.87,201.75
01740,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01741,1998,Boston Edison Co.,193.53,199.87,201.75
01741,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01742,1998,Boston Edison Co.,193.53,199.87,201.75
01745,1998,Boston Edison Co.,193.53,199.87,201.75
01745,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01746,1998,Boston Edison Co.,193.53,199.87,201.75
01746,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01747,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01747,1998,Boston Edison Co.,193.53,199.87,201.75
01748,1998,Boston Edison Co.,193.53,199.87,201.75
01748,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01749,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01749,1998,Boston Edison Co.,193.53,199.87,201.75
01752,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01752,1998,Boston Edison Co.,193.53,199.87,201.75
01754,1998,Boston Edison Co.,193.53,199.87,201.75
01756,1998,Boston Edison Co.,193.53,199.87,201.75
01756,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01757,11804,Massachusetts Electric Co.,160.29,159.57,154.32
01757,1998,Boston Edison Co.,193.53,199.87,201.75
01760,1998,Boston Edison Co.,193.53,199.87,201.75
01770,1998,Boston Edison Co.,193.53,199.87,201.75
